popularity
64
60
58
48
56
57
53
64
64
61
60
60
61
60
61
56
58
51
46
56
59
60
59
47
55
46
56
56
60
57
60
58
58
53
57
58
41
57
52
61
57
51
44
50
52
55
56
55
55
55
52
51
47
50
51
37
48
58
51
49
42
54
47
43
36
41
36
41
41
55
54
48
53
47
49
43
0
46
50
48
45
50
38
47
39
37
34
44
42
46
44
47
0
51
41
38
50
51
49
47
44
51
49
45
50
40
41
42
4
0
38
33
52
50
31
50
48
51
47
40
39
48
45
42
47
45
54
36
50
53
36
33
35
36
33
36
38
40
35
0
35
36
33
34
47
45
44
45
40
46
50
51
48
55
47
15
0
0
36
0
31
24
32
19
18
18
16
42
35
1
1
1
0
0
0
0
0
0
40
34
37
34
0
0
0
0
0
42
37
36
37
28
35
29
32
26
22
24
30
15
10
7
23
1
0
0
0
0
0
16
8
9
8
0
0
0
31
32
0
35
0
20
22
19
0
25
0
12
12
0
28
26
44
41
39
36
36
30
40
38
33
31
29
35
37
28
37
38
36
30
0
0
31
34
3
0
42
0
2
28
15
0
9
7
20
35
2
32
37
0
28
39
40
0
28
43
39
36
46
22
0
30
31
31
0
0
0
31
4
32
40
41
46
2
34
49
32
0
2
2
1
0
29
47
1
44
51
49
38
0
32
37
0
0
31
28
44
13
26
0
0
30
0
33
0
25
26
0
3
0
0
44
44
0
28
44
0
0
43
16
36
31
29
36
34
26
0
41
0
35
31
25
24
45
36
43
32
41
29
0
0
25
45
0
0
40
0
32
0
0
20
37
28
31
35
25
39
15
39
36
40
30
23
38
29
43
37
36
37
15
4
42
20
30
36
35
39
30
45
30
22
46
0
38
34
42
41
10
2
37
0
38
40
39
41
18
5
16
42
20
45
21
0
43
14
46
34
37
29
25
43
29
16
43
16
44
3
18
31
36
47
46
43
51
31
22
53
37
31
0
40
51
33
22
36
49
30
44
51
8
16
40
39
36
24
39
23
44
11
13
29
26
12
39
54
32
23
34
71
46
34
45
57
56
53
53
45
44
23
58
5
47
36
51
42
48
43
40
53
47
56
37
13
51
49
0
54
46
34
55
61
50
53
31
17
38
40
37
44
25
51
55
58
51
34
49
49
35
25
28
50
31
32
43
38
22
49
44
48
28
27
33
60
40
54
47
36
14
25
48
60
42
48
50
54
60
41
46
21
28
60
32
42
23
30
29
11
27
31
37
6
30
35
43
45
43
57
38
42
24
37
22
17
37
27
32
25
55
32
29
64
33
60
35
49
32
33
36
61
32
31
45
41
48
54
39
31
43
35
33
29
26
39
27
38
48
26
28
0
32
27
25
40
38
51
41
34
47
35
35
32
32
29
22
36
29
43
44
45
35
37
41
33
37
37
48
47
49
50
39
49
33
30
38
39
39
52
48
39
50
42
44
47
41
36
42
39
39
60
34
47
55
45
42
47
37
31
0
42
45
35
31
34
24
64
61
58
57
43
49
47
42
45
50
45
43
46
53
60
59
49
52
38
36
33
39
46
48
24
43
50
25
45
41
47
48
29
15
42
45
41
44
26
16
31
14
35
14
24
18
17
30
17
27
32
21
61
59
51
47
37
36
43
0
36
33
35
0
34
40
37
13
17
21
0
0
0
28
3
4
0
9
2
1
36
16
0
25
18
0
0
0
22
4
0
0
0
0
0
35
17
25
17
19
24
18
15
52
78
57
77
0
0
17
16
8
4
4
10
1
8
12
0
1
25
8
14
35
10
38
38
3
3
16
19
3
7
18
41
34
43
24
21
36
29
36
34
23
32
20
43
39
35
