names,artists,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_min,year
Anh Đừng Đi,Lyly,46,0.652,0.5670000000000001,11,-6.841,0,0.0322,0.809,3.0799999999999996e-05,0.10800000000000001,0.35700000000000004,95.001,4.350583333333334,2021
Đom Đóm,Jack - J97,56,0.562,0.373,9,-10.937000000000001,1,0.0281,0.867,0.00225,0.0797,0.295,109.92,5.415816666666666,2020
Gặp Nhưng Không Ở Lại,Hiền Hồ,59,0.605,0.418,6,-8.931000000000001,1,0.0358,0.884,0.0,0.113,0.429,125.928,4.612966666666667,2020
Trên Tình Bạn Dưới Tình Yêu,MIN,60,0.7759999999999999,0.9209999999999999,2,-3.032,0,0.0382,0.18899999999999997,0.0,0.0621,0.598,108.961,3.3211,2020
Đi Về Nhà,Đen,59,0.742,0.662,5,-4.651,1,0.0647,0.578,0.0,0.126,0.486,84.006,3.3333333333333335,2020
Giá Như,Chillies,47,0.509,0.7490000000000001,2,-8.658999999999999,1,0.0362,0.0622,0.00486,0.0727,0.28800000000000003,172.053,4.95,2020
Lời Đường Mật,Lyly,55,0.735,0.8240000000000001,2,-3.483,0,0.054000000000000006,0.706,0.0,0.13,0.669,95.97200000000001,3.7041666666666666,2020
Yêu Một Người Sao Buồn Đến Thế,Noo Phước Thịnh,46,0.43,0.354,10,-10.479000000000001,0,0.0344,0.845,0.000697,0.151,0.273,122.777,4.983816666666667,2020
Qua Khung Cửa Sổ,Chillies,56,0.529,0.243,9,-10.44,1,0.0285,0.8859999999999999,0.0,0.11,0.17300000000000001,132.041,4.98485,2020
Bigcityboi (feat. Touliver),Binz,56,0.843,0.504,11,-11.298,0,0.0924,0.154,4.0799999999999996e-05,0.11199999999999999,0.374,99.977,3.36,2020
Chuyện Rằng,Thịnh Suy,60,0.8109999999999999,0.276,7,-14.892000000000001,1,0.042,0.785,2.83e-06,0.128,0.7040000000000001,95.021,4.535866666666666,2020
Missing You,Phuong Ly,57,0.669,0.40299999999999997,2,-10.745,1,0.0659,0.5379999999999999,2.22e-05,0.0949,0.111,105.01,4.047616666666666,2020
Mascara,Chillies,60,0.652,0.363,2,-9.852,1,0.0292,0.6990000000000001,0.000121,0.147,0.196,113.976,4.929833333333334,2019
Buồn Thì Cứ Khóc Đi,Lynk Lee,58,0.7040000000000001,0.542,2,-4.663,0,0.0307,0.47600000000000003,0.000196,0.141,0.386,97.006,3.705233333333333,2019
CÓ CHẮC YÊU LÀ ĐÂY,Sơn Tùng M-TP,58,0.746,0.7240000000000001,10,-3.9760000000000004,0,0.0498,0.11900000000000001,2.09e-05,0.0506,0.596,95.00299999999999,3.3684166666666666,2020
Hoa Hải Đường,Jack - J97,53,0.534,0.499,9,-10.600999999999999,0,0.0416,0.0416,4.13e-05,0.287,0.22699999999999998,91.954,3.8264833333333335,2020
Thích Quá Rùi Nà,Tlinh,57,0.764,0.51,2,-7.47,1,0.0757,0.542,0.0,0.11199999999999999,0.616,105.024,2.971433333333333,2020
