names,genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
Trời hôm nay nhiều mây cực!,Indie/Hip Hop,0.775,0.828,8,-5.351,0,0.17800000000000002,0.6829999999999999,0.00043799999999999997,0.139,0.7390000000000001,74.976,252600
Cứ Chill Thôi,Indie/Hip Hop,0.7809999999999999,0.608,8,-8.452,1,0.0408,0.217,3.63e-05,0.158,0.609,101.01700000000001,270000
Thanh Xuan,Indie/Hip Hop,0.6759999999999999,0.4,7,-10.770999999999999,0,0.0405,0.855,2.71e-06,0.124,0.34700000000000003,90.02799999999999,220510
Em Bé,Pop/Ballad,0.9229999999999999,0.601,2,-4.692,1,0.0726,0.0644,0.00025299999999999997,0.0508,0.7759999999999999,129.944,192000
Ai Là Người Thương Em,Pop/Ballad,0.26,0.42100000000000004,11,-7.05,0,0.033,0.747,0.0,0.138,0.405,175.632,305794
Em Đã Thương Người Ta Hơn Anh,Pop/Ballad,0.518,0.467,2,-8.066,1,0.0433,0.8959999999999999,0.0,0.138,0.494,134.27100000000002,291781
Tình Nào Không Như Tình Đầu,Pop/Ballad,0.626,0.428,3,-8.746,1,0.0386,0.802,0.0,0.0754,0.309,130.025,281960
Muốn Nói Với Em,Pop/Ballad,0.564,0.5920000000000001,0,-9.458,1,0.0449,0.525,0.0199,0.102,0.42700000000000005,147.941,233514
Một Cú Lừa,Pop/Ballad,0.737,0.7070000000000001,2,-3.318,0,0.0386,0.27699999999999997,0.305,0.0881,0.196,114.97200000000001,208696
em bỏ hút thuốc chưa?,Pop/Ballad,0.6729999999999999,0.376,11,-7.886,0,0.0357,0.915,8.32e-05,0.0973,0.414,104.99700000000001,216000
"ex's hate me, Pt. 2",Pop/Ballad,0.653,0.40299999999999997,0,-8.279,1,0.0577,0.743,0.0,0.141,0.39799999999999996,80.056,216500
Vùng Ký Ức,Indie/Hip Hop,0.486,0.738,7,-6.985,1,0.027999999999999997,0.0142,0.0045899999999999995,0.0995,0.46299999999999997,98.025,298212
Ngày Tận Thế,Pop/Ballad,0.602,0.8290000000000001,8,-4.49,1,0.304,0.752,0.0,0.35700000000000004,0.61,89.98899999999999,232166
yêu thì yêu không yêu thì yêu,Pop/Ballad,0.9279999999999999,0.48200000000000004,0,-5.499,1,0.195,0.439,1.13e-06,0.0422,0.667,139.96,190286
sao anh chưa về nhà,Pop/Ballad,0.747,0.601,4,-8.134,1,0.0395,0.29600000000000004,2.57e-05,0.0912,0.21100000000000002,106.027,244000
So Rang Em Biet Anh Con Yeu Em,Pop/Ballad,0.56,0.452,11,-8.443,0,0.0332,0.7190000000000001,0.0,0.11199999999999999,0.318,127.87299999999999,322505
Khác Biệt To Lớn,Pop/Ballad,0.742,0.601,11,-8.132,0,0.0556,0.767,0.0,0.479,0.496,95.029,240000
De Mi Noi Cho Ma Nghe,Pop/Ballad,0.7070000000000001,0.851,0,-3.6839999999999997,1,0.0654,0.465,2.92e-06,0.138,0.738,155.966,193877
Ke Cap Gap Ba Gia (feat. BINZ),Pop/Ballad,0.723,0.527,3,-6.355,0,0.0379,0.613,0.0265,0.385,0.49700000000000005,99.965,231505
Duyen Am,Pop/Ballad,0.75,0.649,4,-5.15,1,0.0437,0.475,0.00038199999999999996,0.19,0.402,99.99700000000001,179541
Em Day Chang Phai Thuy Kieu,Pop/Ballad,0.6659999999999999,0.49200000000000005,7,-8.214,0,0.0504,0.6809999999999999,0.00436,0.131,0.6829999999999999,87.99600000000001,214500
Lam Moi Toi Ngoi Khong,Pop/Ballad,0.866,0.644,9,-7.45,0,0.0479,0.777,0.00577,0.429,0.7879999999999999,122.976,194645
"Em Không Sai, Chúng Ta Sai",Pop/Ballad,0.49,0.485,1,-6.632000000000001,1,0.0359,0.684,0.0,0.12,0.32899999999999996,170.063,291529
Cần Gì Hơn,Pop/Ballad,0.711,0.5589999999999999,11,-7.891,1,0.0447,0.5760000000000001,5.89e-06,0.11,0.68,93.022,206890
Thang Dien,Indie/Hip Hop,0.622,0.495,5,-8.794,1,0.0363,0.37200000000000005,3.3e-06,0.0991,0.575,140.064,235500
Anh Là Ai,Pop/Ballad,0.698,0.387,7,-7.776,1,0.0312,0.763,0.000317,0.0727,0.39399999999999996,94.99700000000001,258305
Da Lo Yeu Em Nhieu,Indie/Hip Hop,0.603,0.431,5,-9.566,1,0.0345,0.757,0.0,0.10800000000000001,0.49,80.01899999999999,261105
Mặt Trời Của Em,Pop/Ballad,0.49200000000000005,0.643,5,-6.949,0,0.228,0.638,0.0,0.349,0.638,89.88,249333
Nụ Cười,Indie/Hip Hop,0.633,0.7929999999999999,5,-7.075,1,0.0395,0.0921,0.0,0.0768,0.591,104.97,237714
Ngày Tuyệt Vời Nhất,Indie/Hip Hop,0.6829999999999999,0.625,9,-7.141,1,0.0399,0.40299999999999997,1e-05,0.107,0.585,109.98899999999999,216072
Có Em Đời Bỗng Vui,Indie/Hip Hop,0.6559999999999999,0.331,2,-9.88,1,0.0302,0.363,0.0,0.201,0.5,105.015,247429
Và Thế Là Hết,Indie/Hip Hop,0.544,0.307,1,-10.530999999999999,1,0.0263,0.8140000000000001,0.0,0.113,0.32899999999999996,149.877,291651
Đi Đu Đưa Đi,Pop/Ballad,0.815,0.645,5,-6.334,0,0.0507,0.107,0.00548,0.0953,0.6829999999999999,118.024,220169
Ngày Mai Em Đi,Pop/Ballad,0.716,0.5489999999999999,0,-5.086,0,0.0304,0.507,1.56e-06,0.16399999999999998,0.556,100.01,218400
Vai Lan Don Dua,Pop/Ballad,0.7240000000000001,0.6679999999999999,6,-4.035,0,0.057999999999999996,0.555,1.57e-06,0.19399999999999998,0.42700000000000005,135.046,170667
Tinh Nhan Oi,Pop/Ballad,0.675,0.565,9,-5.456,1,0.0514,0.565,0.0,0.185,0.515,82.99600000000001,254819
Nước Mắt Em Lau Bằng Tình Yêu Mới,Indie/Hip Hop,0.649,0.626,7,-5.535,1,0.0541,0.6990000000000001,0.0,0.0774,0.214,94.84700000000001,285742
"Không Sao Mà, Em Đây Rồi",Pop/Ballad,0.647,0.488,8,-7.218,1,0.0401,0.675,0.0,0.247,0.17800000000000002,102.979,267961
"Sau Nay, Hay Gap Lai Nhau Khi Hoa No",Indie/Hip Hop,0.32799999999999996,0.285,1,-10.724,1,0.0307,0.8740000000000001,0.0,0.122,0.146,92.255,275644
Kho Ve Nu Cuoi (feat. Du Uyen),Indie/Hip Hop,0.45799999999999996,0.332,1,-10.249,0,0.0309,0.73,0.0,0.10099999999999999,0.263,130.214,332308
Suýt Nữa Thì,Pop/Ballad,0.5479999999999999,0.41200000000000003,1,-8.154,1,0.028999999999999998,0.847,0.0,0.128,0.418,132.019,283392
Nhung Ke Mong Mo,Pop/Ballad,0.46799999999999997,0.562,10,-6.102,1,0.033,0.326,0.0,0.0986,0.474,139.769,253776
Thuong Em La Dieu Anh Khong The Ngo,Pop/Ballad,0.397,0.408,3,-8.758,1,0.0378,0.8740000000000001,0.0,0.152,0.226,123.221,308459
Chưa Bao Giờ,Pop/Ballad,0.44299999999999995,0.33899999999999997,5,-6.808,0,0.0277,0.8740000000000001,1.7899999999999998e-05,0.1,0.263,145.878,273960
Dấu Mưa,Pop/Ballad,0.662,0.265,2,-7.556,1,0.0309,0.862,0.0,0.0867,0.298,84.921,260094
Thả Vào Mưa,Pop/Ballad,0.527,0.282,11,-8.996,0,0.0337,0.9309999999999999,4.13e-06,0.133,0.21899999999999997,127.925,342875
Cánh Đồng Yêu Thương,Pop/Ballad,0.51,0.46299999999999997,0,-6.24,1,0.0332,0.68,0.0,0.11,0.306,137.812,306441
Mùa Hè Phía Chân Trời (Nhạc Phim Tháng 5 Để Dành),Pop/Ballad,0.59,0.415,4,-11.137,1,0.0559,0.7709999999999999,0.0,0.146,0.289,144.03,211667
Chiều Nay Không Có Mưa Bay,Pop/Ballad,0.494,0.433,0,-7.809,1,0.0397,0.7909999999999999,0.0,0.102,0.49200000000000005,171.917,296557
Trái Đất Tròn Không Gì Là Không Thể,Pop/Ballad,0.7,0.495,1,-6.602,0,0.0634,0.818,0.0,0.10400000000000001,0.479,105.041,253504
