genres
['v-pop']
['indie viet']
"['v-pop', 'vietnamese hip hop']"
['v-pop']
"['v-pop', 'vietnamese hip hop']"
['v-pop']
['v-pop']
['v-pop']
['v-pop']
"['v-pop', 'vietnamese singer-songwriter']"
['vietnamese hip hop']
['vietnamese hip hop']
"['indie viet', 'rock viet', 'v-pop', 'vietnamese singer-songwriter']"
['v-pop']
"['indie viet', 'v-pop', 'vietnamese hip hop']"
"['indie viet', 'v-pop']"
"['indie viet', 'v-pop']"
['viet lo-fi']
['v-pop']
['v-pop']
['v-pop']
['v-pop']
"['indie viet', 'v-pop', 'vietnamese hip hop']"
"['indie viet', 'v-pop']"
['v-pop']
['v-pop']
"['indie viet', 'v-pop']"
"['v-pop', 'vietnamese hip hop']"
"['v-pop', 'vietnamese singer-songwriter']"
['v-pop']
"['indie viet', 'v-pop']"
"['v-pop', 'vietnamese hip hop', 'vietnamese singer-songwriter']"
['v-pop']
['v-pop']
"['indie viet', 'v-pop', 'vietnamese hip hop']"
['v-pop']
"['indie viet', 'v-pop', 'vietnamese hip hop']"
"['indie viet', 'v-pop', 'vietnamese hip hop']"
"['indie viet', 'v-pop', 'vietnamese hip hop']"
"['indie viet', 'v-pop']"
"['indie viet', 'v-pop', 'vietnamese hip hop']"
['v-pop']
['v-pop']
['v-pop']
['v-pop']
"['v-pop', 'vietnamese bolero']"
['v-pop']
['v-pop']
['v-pop']
['v-pop']
"['indie viet', 'v-pop']"
"['v-pop', 'vietnamese pop']"
['v-pop']
['v-pop']
['v-pop']
['v-pop']
['v-pop']
['v-pop']
['v-pop']
['v-pop']
['v-pop']
['v-pop']
"['v-pop', 'vietnamese singer-songwriter']"
"['v-pop', 'vietnamese hip hop']"
['v-pop']
"['v-pop', 'vietnamese hip hop']"
['v-pop']
"['v-pop', 'vietnamese hip hop']"
"['v-pop', 'vietnamese hip hop']"
"['indie viet', 'v-pop']"
"['indie viet', 'v-pop']"
['v-pop']
['v-pop']
['v-pop']
['v-pop']
"['indie viet', 'v-pop', 'vietnamese hip hop']"
['v-pop']
"['indie viet', 'v-pop', 'vietnamese singer-songwriter']"
"['v-pop', 'vietnamese hip hop']"
"['v-pop', 'vietnamese singer-songwriter']"
